scenario,timestamp_ms,latency_ms,fps,theta_output,decision,jt_cm,djt_cm
belok,1750247160658,206.38155937194824,4.845394147825796,-2.4036692655373537,LURUS,0.0,0.0
belok,1750247160880,206.57920837402344,4.8407582150738175,-2.884403118644824,LURUS,0.0,0.0
belok,1750247161102,206.55465126037598,4.841333728861099,-1.7202749151354564,LURUS,0.0,0.0
belok,1750247161322,204.3130397796631,4.894450207771506,-0.03635515194174661,LURUS,0.0,0.0
belok,1750247161544,205.58452606201172,4.864179319110641,-1.4526526430979123,LURUS,0.0,0.0
belok,1750247161764,204.93602752685547,4.87957150369257,5.8845978663604495,KIRI RINGAN,40.92,11.520000000000003
belok,1750247161985,189.14270401000977,5.287013343888106,7.542251292740009,KIRI RINGAN,0.0,0.0
belok,1750247162251,233.7033748626709,4.278928366300321,9.967353667820104,KIRI RINGAN,43.68,0.0
belok,1750247162487,221.06456756591797,4.523565268784269,16.311744439849143,KIRI RINGAN,46.08,2.3999999999999986
belok,1750247162717,229.8412322998047,4.350829439930956,23.1864613580752,KIRI SEDANG,47.519999999999996,1.4399999999999977
belok,1750247162955,237.52450942993164,4.210091844416562,21.047339207864148,KIRI SEDANG,46.32,-1.1999999999999957
belok,1750247163223,236.3302707672119,4.2313665395196525,26.737865522429765,KIRI SEDANG,47.519999999999996,1.1999999999999957
belok,1750247163474,234.41457748413086,4.265946302199132,34.90330235054713,KIRI SEDANG,49.44,1.9200000000000017
belok,1750247163707,217.92936325073242,4.588642783531095,35.77041244938289,KIRI TAJAM,47.519999999999996,-1.9200000000000017
belok,1750247163936,210.4952335357666,4.750701396904,36.05704905142176,KIRI TAJAM,0.0,0.0
belok,1750247164159,206.756591796875,4.836605166051661,38.11404265530484,KIRI TAJAM,0.0,0.0
belok,1750247164387,212.39757537841797,4.708151673663651,38.8694052985281,KIRI TAJAM,0.0,0.0
belok,1750247164609,205.86395263671875,4.857576992921469,36.629627778765226,KIRI TAJAM,0.0,0.0
