scenario,timestamp_ms,frame_latency_ms,fps,theta_output,decision,jt_cm,djt_cm
democpt2,1750255486704,226.05347633361816,4.423732013411564,-10.012844901682866,KANAN RINGAN,6.12,-19.919999999999998
democpt2,1750255486954,229.09212112426758,4.365056271217486,-13.171499694231429,KANAN RINGAN,nan,nan
democpt2,1750255487232,266.94536209106445,3.7460849372571787,-15.606764943668262,KANAN RINGAN,nan,nan
democpt2,1750255487498,251.80768966674805,3.971284599463338,-18.48927630511057,KANAN RINGAN,nan,nan
democpt2,1750255487779,263.87619972229004,3.7896559108113017,-16.06245938848201,KANAN RINGAN,24.72,18.599999999999998
democpt2,1750255488031,233.25395584106445,4.287172735802963,-4.208988483269749,KANAN RINGAN,29.4,4.68
democpt2,1750255488323,265.41638374328613,3.767664926695753,-3.0482171995871257,KANAN RINGAN,nan,nan
democpt2,1750255488581,238.17896842956543,4.198523516133714,-1.0235607006582654,LURUS,nan,nan
democpt2,1750255488891,290.53640365600586,3.4419094730173527,1.8930801479437342,LURUS,nan,nan
democpt2,1750255489151,248.2011318206787,4.028990491157324,-0.24712681593521174,LURUS,nan,nan
democpt2,1750255489408,248.0020523071289,4.032224696114963,-1.6561532767030278,LURUS,nan,nan
democpt2,1750255489677,267.0135498046875,3.7451282930453167,0.6119001745550043,LURUS,40.92,0
democpt2,1750255489923,231.51063919067383,4.319455915701536,1.3439236493834303,LURUS,nan,nan
democpt2,1750255490193,251.9679069519043,3.9687594031206532,5.943617656913666,KIRI RINGAN,43.68,2.759999999999998
democpt2,1750255490443,232.77902603149414,4.295919684210311,11.943953445915614,KIRI RINGAN,46.08,2.3999999999999986
democpt2,1750255490725,250.89192390441895,3.9857799503381584,18.81139933375332,KIRI RINGAN,47.519999999999996,1.4399999999999977
democpt2,1750255490976,233.95919799804688,4.274249563842103,22.539559785550512,KIRI SEDANG,46.32,-1.1999999999999957
democpt2,1750255491235,244.0185546875,4.098049024512256,29.284625638477223,KIRI SEDANG,47.519999999999996,1.1999999999999957
democpt2,1750255491512,261.364221572876,3.826078389697156,34.90330235054713,KIRI SEDANG,49.44,1.9200000000000017
democpt2,1750255491792,259.61852073669434,3.8518053225262854,35.77041244938289,KIRI TAJAM,47.519999999999996,-1.9200000000000017
democpt2,1750255492058,243.5765266418457,4.1054859176574,36.05704905142176,KIRI TAJAM,nan,nan
democpt2,1750255492327,258.1970691680908,3.8730106550860284,38.11404265530484,KIRI TAJAM,nan,nan
democpt2,1750255492625,275.0852108001709,3.635237231006309,38.8694052985281,KIRI TAJAM,nan,nan
democpt2,1750255492866,229.8891544342041,4.349922476600378,36.629627778765226,KIRI TAJAM,nan,nan
democpt2,1750255493098,223.43993186950684,4.475475764931843,37.08810744668057,KIRI TAJAM,nan,nan
democpt2,1750255493343,232.24854469299316,4.305732039448898,37.3516464461401,KIRI TAJAM,nan,nan
democpt2,1750255493605,230.926513671875,4.330381921501256,40.391744801081494,KIRI TAJAM,49.8,0
democpt2,1750255493876,258.49103927612305,3.8686060561340723,43.02044443524627,KIRI TAJAM,49.8,0.0
democpt2,1750255494126,234.67564582824707,4.261200588031507,45.529788017486894,KIRI TAJAM,50.519999999999996,0.7199999999999989
democpt2,1750255494388,239.60113525390625,4.17360292946983,38.20386246173385,KIRI TAJAM,46.44,-4.079999999999998
democpt2,1750255494619,198.73404502868652,5.031850480654453,38.427013464744505,KIRI TAJAM,nan,nan
democpt2,1750255494874,223.73342514038086,4.469604840548761,34.868960901239575,KIRI SEDANG,47.4,0.9600000000000009
democpt2,1750255495136,243.86239051818848,4.100673325948615,29.246311027555322,KIRI SEDANG,45.96,-1.4399999999999977
democpt2,1750255495409,256.7710876464844,3.894519469328936,27.888633037389138,KIRI SEDANG,48.96,3.0
democpt2,1750255495699,266.25633239746094,3.755779218453383,38.06269897145507,KIRI TAJAM,50.879999999999995,1.9199999999999946
democpt2,1750255495965,236.21368408203125,4.233454991763832,40.66271335184251,KIRI TAJAM,49.559999999999995,-1.3200000000000003
democpt2,1750255496232,238.79551887512207,4.187683272745789,39.80009269324255,KIRI TAJAM,47.16,-2.3999999999999986
democpt2,1750255496495,232.71560668945312,4.297090402426031,44.242368557123214,KIRI TAJAM,48.96,1.8000000000000043
democpt2,1750255496763,237.26415634155273,4.2147116337305235,45.56833007056889,KIRI TAJAM,49.8,0.8399999999999963
democpt2,1750255497012,230.84187507629395,4.331969663950689,35.39426413650296,KIRI TAJAM,45.6,-4.199999999999996
democpt2,1750255497294,250.66351890563965,3.9894117993948783,32.23233009106934,KIRI SEDANG,nan,nan
democpt2,1750255497706,397.2480297088623,2.5173189675298993,36.05838164709329,KIRI TAJAM,49.199999999999996,3.5999999999999943
